
BUSES AND NODES IN ACTIVE CIRCUIT: ieee650

                               Coord                                 Number of     Nodes
  Bus     Base kV             (x, y)                      Keep?       Nodes        connected ...
"563"   12.470          ( 1674058.338  , 12277416.77  )     No           3          1    2    3 
"564"   12.470          ( 1674033.686  , 12277325.9   )     No           3          1    2    3 
"566"   12.470          ( 1674009.033  , 12277235.02  )     No           3          1    2    3 
"572"   12.470          ( 1673946.93   , 12276991.3   )     No           3          1    2    3 
"578"   12.470          ( 1673877.429  , 12276709.06  )     No           3          1    2    3 
"584"   12.470          ( 1673792.572  , 12276405.67  )     No           3          1    2    3 
"590"   12.470          ( 1673715.51   , 12275856.26  )     No           3          1    2    3 
"593"   12.470          ( 1673756.982  , 12275633.82  )     No           3          1    2    3 
"594"   12.470          ( 1673805.728  , 12275482.38  )     No           3          1    2    3 
"599"   12.470          ( 1673856.392  , 12275198.91  )     No           3          1    2    3 
"601"   12.470          ( 1673856.912  , 12275094.67  )     No           3          1    2    3 
"602"   12.470          ( 1673857.698  , 12274937.58  )     No           3          1    2    3 
"605"   12.470          ( 1673829.862  , 12274652.99  )     No           3          1    2    3 
"608"   12.470          ( 1673799.06   , 12274454.79  )     No           3          1    2    3 
"609"   12.470          ( 1673774.529  , 12274330.11  )     No           3          1    2    3 
"610"   12.470          ( 1673749.076  , 12274258.12  )     No           3          1    2    3 
"611"   12.470          ( 1673732.869  , 12274212.27  )     No           3          1    2    3 
"612"   12.470          ( 1673795.886  , 12274177.11  )     No           3          1    2    3 
"615"   12.470          ( 1673976.937  , 12274076.09  )     No           3          1    2    3 
"617"   12.470          ( 1674143.943  , 12273879.84  )     No           3          1    2    3 
"619"   12.470          ( 1674190.891  , 12273824.67  )     No           3          1    2    3 
"622"   12.470          ( 1674265.525  , 12273641.45  )     No           3          1    2    3 
"626"   12.470          ( 1674362.223  , 12273404.07  )     No           3          1    2    3 
"627"   12.470          ( 1674365.262  , 12273394.88  )     No           3          1    2    3 
"628"   12.470          ( 1674373.725  , 12273307.53  )     No           3          1    2    3 
"631"   12.470          ( 1674383.096  , 12273210.84  )     No           3          1    2    3 
"632"   12.470          ( 1674390.444  , 12273135.01  )     No           3          1    2    3 
"635"   12.470          ( 1674410.798  , 12272924.99  )     No           3          1    2    3 
"636"   12.470          ( 1674411.584  , 12272916.87  )     No           3          1    2    3 
"637"   12.470          ( 1674411.76   , 12272915.03  )     No           3          1    2    3 
"400"   12.470          ( 1669232.171  , 12281827.3   )     No           3          1    2    3 
"401"   12.470          ( 1669211.241  , 12281814.58  )     No           3          1    2    3 
"408"   12.470          ( 1669053.979  , 12281719     )     No           3          1    2    3 
"413"   12.470          ( 1668955.671  , 12281655.63  )     No           3          1    2    3 
"415"   12.470          ( 1668890.131  , 12281613.39  )     No           3          1    2    3 
"417"   12.470          ( 1668726.143  , 12281507.69  )     No           3          1    2    3 
"427"   12.470          ( 1668484.25   , 12281312.27  )     No           3          1    2    3 
"429"   12.470          ( 1668469.722  , 12281304.45  )     No           3          1    2    3 
"430"   12.470          ( 1668416.723  , 12281275.9   )     No           3          1    2    3 
"436"   12.470          ( 1668312.968  , 12281220.03  )     No           3          1    2    3 
"440"   12.470          ( 1668244.728  , 12281028.88  )     No           3          1    2    3 
"446"   12.470          ( 1668187.36   , 12280846.14  )     No           3          1    2    3 
"447"   12.470          ( 1668185.209  , 12280838.05  )     No           3          1    2    3 
"450"   12.470          ( 1668183.452  , 12280738.28  )     No           3          1    2    3 
"456"   12.470          ( 1668066.548  , 12280526.38  )     No           3          1    2    3 
"457"   12.470          ( 1668061.772  , 12280514.62  )     No           3          1    2    3 
"461"   12.470          ( 1668025.076  , 12280424.2   )     No           3          1    2    3 
"462"   12.470          ( 1667999.91   , 12280371.08  )     No           3          1    2    3 
"468"   12.470          ( 1667857.89   , 12280049.78  )     No           3          1    2    3 
"472"   12.470          ( 1667706.534  , 12279688.89  )     No           3          1    2    3 
"473"   12.470          ( 1667692.411  , 12279664.65  )     No           3          1    2    3 
"480"   12.470          ( 1667612.912  , 12279508.97  )     No           3          1    2    3 
"481"   12.470          ( 1667533.413  , 12279353.28  )     No           3          1    2    3 
"482"   12.470          ( 1667519.716  , 12279326.46  )     No           3          1    2    3 
"487"   12.470          ( 1667364.42   , 12278982.12  )     No           3          1    2    3 
"490"   12.470          ( 1667456.457  , 12278952.13  )     No           3          1    2    3 
"491"   12.470          ( 1667504.81   , 12278933.54  )     No           3          1    2    3 
"497"   12.470          ( 1667122.899  , 12278485.23  )     No           3          1    2    3 
"498"   12.470          ( 1667108.326  , 12278469.28  )     No           3          1    2    3 
"500"   12.470          ( 1667041.606  , 12278392.68  )     No           3          1    2    3 
"503"   12.470          ( 1666852.67   , 12278175.78  )     No           3          1    2    3 
"511"   12.470          ( 1666463.865  , 12278010.81  )     No           3          1    2    3 
"512"   12.470          ( 1666395.7    , 12277981.72  )     No           3          1    2    3 
"517"   12.470          ( 1666193.415  , 12278027.46  )     No           3          1    2    3 
"518"   12.470          ( 1666159.209  , 12278035.19  )     No           3          1    2    3 
"525"   12.470          ( 1665943.436  , 12278103.54  )     No           3          1    2    3 
"527"   12.470          ( 1665859.206  , 12278130.23  )     No           3          1    2    3 
"533"   12.470          ( 1665604.651  , 12278248.08  )     No           3          1    2    3 
"535"   12.470          ( 1665607.515  , 12278297.61  )     No           3          1    2    3 
"536"   12.470          ( 1665611.381  , 12278364.44  )     No           3          1    2    3 
"540"   12.470          ( 1665613.626  , 12278455.28  )     No           3          1    2    3 
"542"   12.470          ( 1665615.027  , 12278511.92  )     No           3          1    2    3 
"545"   12.470          ( 1665706.941  , 12278603.63  )     No           3          1    2    3 
"544"   12.470          ( 1665213.434  , 12278259.06  )     No           3          1    2    3 
"546"   12.470          ( 1665173.515  , 12278260.18  )     No           3          1    2    3 
"547"   12.470          ( 1665171.114  , 12278260.25  )     No           3          1    2    3 
"549"   12.470          ( 1665004.391  , 12278164.44  )     No           3          1    2    3 
"552"   12.470          ( 1664850.226  , 12278036.01  )     No           3          1    2    3 
"554"   12.470          ( 1664697.568  , 12277902.37  )     No           3          1    2    3 
"559"   12.470          ( 1664462.252  , 12277691.23  )     No           3          1    2    3 
"565"   12.470          ( 1664316.537  , 12277560.87  )     No           3          1    2    3 
"571"   12.470          ( 1664158.841  , 12277419.78  )     No           3          1    2    3 
"575"   12.470          ( 1664038.715  , 12277312.17  )     No           3          1    2    3 
"576"   12.470          ( 1663918.589  , 12277204.56  )     No           3          1    2    3 
"579"   12.470          ( 1663798.463  , 12277096.94  )     No           3          1    2    3 
"580"   12.470          ( 1663793.343  , 12277091.95  )     No           3          1    2    3 
"581"   12.470          ( 1663755.131  , 12277054.7   )     No           3          1    2    3 
"583"   12.470          ( 1663670.995  , 12276922.25  )     No           3          1    2    3 
"587"   12.470          ( 1663309.2    , 12276624.31  )     No           3          1    2    3 
"589"   12.470          ( 1663229.61   , 12276549.53  )     No           3          1    2    3 
"592"   12.470          ( 1663058.881  , 12276389.12  )     No           3          1    2    3 
"595"   12.470          ( 1662908.033  , 12276247.39  )     No           3          1    2    3 
"596"   12.470          ( 1662888.254  , 12276225.33  )     No           3          1    2    3 
"606"   12.470          ( 1662334.471  , 12275527.77  )     No           3          1    2    3 
"529"   12.470          ( 1665856.551  , 12278251.61  )     No           3          1    2    3 
"534"   12.470          ( 1665852.218  , 12278449.91  )     No           3          1    2    3 
"537"   12.470          ( 1665832.991  , 12278524.99  )     No           3          1    2    3 
"538"   12.470          ( 1665831.017  , 12278532.69  )     No           3          1    2    3 
"507"   12.470          ( 1666900.011  , 12278019.07  )     No           3          1    2    3 
"374"   12.470          ( 1670383.991  , 12282512.26  )     No           3          1    2    3 
"375"   12.470          ( 1670352.165  , 12282530.47  )     No           3          1    2    3 
"377"   12.470          ( 1670267.382  , 12282578.99  )     No           3          1    2    3 
"378"   12.470          ( 1670253.62   , 12282586.86  )     No           3          1    2    3 
"382"   12.470          ( 1669994.154  , 12282719.79  )     No           3          1    2    3 
"385"   12.470          ( 1669890.452  , 12282769.85  )     No           3          1    2    3 
"387"   12.470          ( 1669782.911  , 12282802.01  )     No           3          1    2    3 
"389"   12.470          ( 1669648.841  , 12282858.92  )     No           3          1    2    3 
"390"   12.470          ( 1669666.491  , 12282916.01  )     No           3          1    2    3 
"398"   12.470          ( 1669769.628  , 12283249.67  )     No           3          1    2    3 
"402"   12.470          ( 1669772.794  , 12283364.43  )     No           3          1    2    3 
"403"   12.470          ( 1669777.423  , 12283386.8   )     No           3          1    2    3 
"405"   12.470          ( 1669781.547  , 12283406.82  )     No           3          1    2    3 
"409"   12.470          ( 1669809.81   , 12283544.11  )     No           3          1    2    3 
"421"   12.470          ( 1670051.036  , 12283898.06  )     No           3          1    2    3 
"422"   12.470          ( 1670054.321  , 12283903.67  )     No           3          1    2    3 
"431"   12.470          ( 1670257.687  , 12284178.7   )     No           3          1    2    3 
"433"   12.470          ( 1670284.762  , 12284215.32  )     No           3          1    2    3 
"437"   12.470          ( 1670296.771  , 12284293.5   )     No           3          1    2    3 
"438"   12.470          ( 1670297.017  , 12284328.04  )     No           3          1    2    3 
"442"   12.470          ( 1670298.581  , 12284547.29  )     No           3          1    2    3 
"444"   12.470          ( 1670298.631  , 12284558.43  )     No           3          1    2    3 
"448"   12.470          ( 1670299.179  , 12284684.81  )     No           3          1    2    3 
"453"   12.470          ( 1670296.558  , 12284791.7   )     No           3          1    2    3 
"458"   12.470          ( 1670292.888  , 12285016.42  )     No           3          1    2    3 
"464"   12.470          ( 1670295.669  , 12285279.57  )     No           3          1    2    3 
"466"   12.470          ( 1670288.6    , 12285423.39  )     No           3          1    2    3 
"470"   12.470          ( 1670157.568  , 12285760.35  )     No           3          1    2    3 
"471"   12.470          ( 1670155.488  , 12285766.29  )     No           3          1    2    3 
"475"   12.470          ( 1670058.953  , 12286042.22  )     No           3          1    2    3 
"476"   12.470          ( 1670043.97   , 12286085.05  )     No           3          1    2    3 
"479"   12.470          ( 1669909.711  , 12286048.99  )     No           3          1    2    3 
"485"   12.470          ( 1669900.97   , 12286402.79  )     No           3          1    2    3 
"488"   12.470          ( 1669954.632  , 12286502.68  )     No           3          1    2    3 
"492"   12.470          ( 1670021.491  , 12286627.14  )     No           3          1    2    3 
"495"   12.470          ( 1670244.019  , 12286804.31  )     No           3          1    2    3 
"506"   12.470          ( 1670257.13   , 12287336.06  )     No           3          1    2    3 
"510"   12.470          ( 1670269.049  , 12287698.28  )     No           3          1    2    3 
"516"   12.470          ( 1670271.794  , 12287908.26  )     No           3          1    2    3 
"519"   12.470          ( 1670274.612  , 12288066.76  )     No           3          1    2    3 
"520"   12.470          ( 1670275.23   , 12288092.35  )     No           3          1    2    3 
"524"   12.470          ( 1670273.231  , 12288254.34  )     No           3          1    2    3 
"528"   12.470          ( 1670298.082  , 12288479.51  )     No           3          1    2    3 
"391"   12.470          ( 1669587.409  , 12282875.05  )     No           3          1    2    3 
"394"   12.470          ( 1669509.102  , 12282927.1   )     No           3          1    2    3 
"396"   12.470          ( 1669343.599  , 12283037.1   )     No           3          1    2    3 
"411"   12.470          ( 1669075.983  , 12283312.36  )     No           3          1    2    3 
"418"   12.470          ( 1668812.721  , 12283524.26  )     No           3          1    2    3 
"423"   12.470          ( 1668691.565  , 12283575.47  )     No           3          1    2    3 
"424"   12.470          ( 1668711.623  , 12283618.19  )     No           3          1    2    3 
"425"   12.470          ( 1668719.229  , 12283634.4   )     No           3          1    2    3 
"426"   12.470          ( 1668562.639  , 12283624.86  )     No           3          1    2    3 
"432"   12.470          ( 1668406.406  , 12283697.19  )     No           3          1    2    3 
"441"   12.470          ( 1668136.741  , 12283811.73  )     No           3          1    2    3 
"449"   12.470          ( 1667896.679  , 12283876.72  )     No           3          1    2    3 
"455"   12.470          ( 1667678.829  , 12283986.25  )     No           3          1    2    3 
"465"   12.470          ( 1667474.099  , 12284247.77  )     No           3          1    2    3 
"467"   12.470          ( 1667392.109  , 12284337.39  )     No           3          1    2    3 
"474"   12.470          ( 1666903.878  , 12284281.92  )     No           3          1    2    3 
"477"   12.470          ( 1666749.152  , 12284240.85  )     No           3          1    2    3 
"484"   12.470          ( 1666319.621  , 12284211.44  )     No           3          1    2    3 
"493"   12.470          ( 1665980.959  , 12284206.57  )     No           3          1    2    3 
"496"   12.470          ( 1665657.158  , 12284210.05  )     No           3          1    2    3 
"499"   12.470          ( 1665558.608  , 12284208.52  )     No           3          1    2    3 
"505"   12.470          ( 1665333.16   , 12284492.34  )     No           3          1    2    3 
"509"   12.470          ( 1665207.339  , 12284644.35  )     No           3          1    2    3 
"513"   12.470          ( 1665067.843  , 12284806.27  )     No           3          1    2    3 
"514"   12.470          ( 1664928.347  , 12284968.2   )     No           3          1    2    3 
"521"   12.470          ( 1664788.851  , 12285130.12  )     No           3          1    2    3 
"522"   12.470          ( 1664783.473  , 12285132.7   )     No           3          1    2    3 
"530"   12.470          ( 1664477.26   , 12285279.4   )     No           3          1    2    3 
"532"   12.470          ( 1664435.698  , 12285302.03  )     No           3          1    2    3 
"541"   12.470          ( 1664149.019  , 12285455.37  )     No           3          1    2    3 
"548"   12.470          ( 1663847.402  , 12285579.37  )     No           3          1    2    3 
"553"   12.470          ( 1663440.452  , 12285655.3   )     No           3          1    2    3 
"557"   12.470          ( 1663360.609  , 12285489.52  )     No           3          1    2    3 
"562"   12.470          ( 1663258.889  , 12285227.37  )     No           3          1    2    3 
"570"   12.470          ( 1663129.508  , 12284971.94  )     No           3          1    2    3 
"573"   12.470          ( 1663078.919  , 12284777.38  )     No           3          1    2    3 
"574"   12.470          ( 1663073.921  , 12284758.02  )     No           3          1    2    3 
"582"   12.470          ( 1663095.04   , 12284413.78  )     No           3          1    2    3 
"585"   12.470          ( 1663141.6    , 12283974.94  )     No           3          1    2    3 
"586"   12.470          ( 1663141.698  , 12283965.19  )     No           3          1    2    3 
"588"   12.470          ( 1663145.438  , 12283703.22  )     No           3          1    2    3 
"591"   12.470          ( 1663147.965  , 12283526.07  )     No           3          1    2    3 
"597"   12.470          ( 1663101.807  , 12283078.79  )     No           3          1    2    3 
"604"   12.470          ( 1663025.941  , 12282462.9   )     No           3          1    2    3 
"607"   12.470          ( 1662996.679  , 12282262.76  )     No           3          1    2    3 
"618"   12.470          ( 1662898.367  , 12281451.67  )     No           3          1    2    3 
"621"   12.470          ( 1662884.662  , 12281252.64  )     No           3          1    2    3 
"625"   12.470          ( 1662702.328  , 12281241.04  )     No           3          1    2    3 
"630"   12.470          ( 1662434.2    , 12281193.22  )     No           3          1    2    3 
"634"   12.470          ( 1662211.058  , 12281038.94  )     No           3          1    2    3 
"558"   12.470          ( 1663539.862  , 12285876.88  )     No           3          1    2    3 
"561"   12.470          ( 1663580.15   , 12286004.69  )     No           3          1    2    3 
"567"   12.470          ( 1663676.382  , 12286297.42  )     No           3          1    2    3 
"568"   12.470          ( 1663711.828  , 12286326.97  )     No           3          1    2    3 
"569"   12.470          ( 1663726.14   , 12286335.89  )     No           3          1    2    3 
"577"   12.470          ( 1663977.929  , 12286492.87  )     No           3          1    2    3 
"598"   12.470          ( 1664258.128  , 12287931.37  )     No           3          1    2    3 
"600"   12.470          ( 1664282.241  , 12288006.48  )     No           3          1    2    3 
"603"   12.470          ( 1664388.459  , 12288335.54  )     No           3          1    2    3 
"613"   12.470          ( 1664557.157  , 12289003.66  )     No           3          1    2    3 
"614"   12.470          ( 1664652.561  , 12289152.8   )     No           3          1    2    3 
"616"   12.470          ( 1664637.815  , 12289413     )     No           3          1    2    3 
"620"   12.470          ( 1664706.354  , 12289606.37  )     No           3          1    2    3 
"623"   12.470          ( 1664802.433  , 12289777.41  )     No           3          1    2    3 
"624"   12.470          ( 1664804.486  , 12289792.23  )     No           3          1    2    3 
"629"   12.470          ( 1664836.361  , 12290022.11  )     No           3          1    2    3 
"633"   12.470          ( 1664843.91   , 12290258.22  )     No           3          1    2    3 
"638"   12.470          ( 1664906.443  , 12290753.1   )     No           3          1    2    3 
"639"   12.470          ( 1664921.537  , 12290950.41  )     No           3          1    2    3 
"640"   12.470          ( 1664935.553  , 12291169.27  )     No           3          1    2    3 
"641"   12.470          ( 1664920.501  , 12291452.88  )     No           3          1    2    3 
"642"   12.470          ( 1664911.342  , 12291753.53  )     No           3          1    2    3 
"643"   12.470          ( 1664903.588  , 12291968.28  )     No           3          1    2    3 
"644"   12.470          ( 1664889.781  , 12292299.71  )     No           3          1    2    3 
"645"   12.470          ( 1664876.28   , 12292623     )     No           3          1    2    3 
"646"   12.470          ( 1664871.599  , 12292768.51  )     No           3          1    2    3 
"647"   12.470          ( 1664895.331  , 12292976.68  )     No           3          1    2    3 
"648"   12.470          ( 1664892.57   , 12293065.38  )     No           3          1    2    3 
"649"   12.470          ( 1664887.749  , 12293210.24  )     No           3          1    2    3 
"304"   12.470          ( 1673587.96   , 12284638.15  )     No           3          1    2    3 
"306"   12.470          ( 1673623.1    , 12284679.16  )     No           3          1    2    3 
"308"   12.470          ( 1673633.229  , 12284690.98  )     No           3          1    2    3 
"286"   12.470          ( 1674595.99   , 12284047.17  )     No           3          1    2    3 
"290"   12.470          ( 1674662.187  , 12284127.29  )     No           3          1    2    3 
"291"   12.470          ( 1674728.385  , 12284207.4   )     No           3          1    2    3 
"297"   12.470          ( 1675016.948  , 12284588.86  )     No           3          1    2    3 
"298"   12.470          ( 1675041.541  , 12284646.3   )     No           3          1    2    3 
"309"   12.470          ( 1675244.71   , 12285098.39  )     No           3          1    2    3 
"310"   12.470          ( 1675263.351  , 12285129.83  )     No           3          1    2    3 
"319"   12.470          ( 1675427.56   , 12285480.8   )     No           3          1    2    3 
"325"   12.470          ( 1675577.142  , 12285840.54  )     No           3          1    2    3 
"326"   12.470          ( 1675609.652  , 12285918.72  )     No           3          1    2    3 
"332"   12.470          ( 1675612.117  , 12286112.89  )     No           3          1    2    3 
"334"   12.470          ( 1675615.89   , 12286409.83  )     No           3          1    2    3 
"336"   12.470          ( 1675616.369  , 12286527.7   )     No           3          1    2    3 
"338"   12.470          ( 1675617.119  , 12286711.85  )     No           3          1    2    3 
"341"   12.470          ( 1675618.339  , 12286817     )     No           3          1    2    3 
"145"   12.470          ( 1681687.595  , 12279248.73  )     No           3          1    2    3 
"146"   12.470          ( 1681682      , 12279248.94  )     No           3          1    2    3 
"155"   12.470          ( 1681174.625  , 12279294.02  )     No           3          1    2    3 
"158"   12.470          ( 1680891.452  , 12279281.76  )     No           3          1    2    3 
"160"   12.470          ( 1680856.693  , 12279282.73  )     No           3          1    2    3 
"162"   12.470          ( 1680725.019  , 12279286.41  )     No           3          1    2    3 
"167"   12.470          ( 1680444.599  , 12279294.24  )     No           3          1    2    3 
"171"   12.470          ( 1679983.172  , 12279289.52  )     No           3          1    2    3 
"176"   12.470          ( 1679631.535  , 12279302.1   )     No           3          1    2    3 
"182"   12.470          ( 1679418.227  , 12279173.26  )     No           3          1    2    3 
"191"   12.470          ( 1679232.793  , 12279461.7   )     No           3          1    2    3 
"192"   12.470          ( 1679243.381  , 12279459.73  )     No           3          1    2    3 
"193"   12.470          ( 1679259.95   , 12279457.76  )     No           3          1    2    3 
"194"   12.470          ( 1679305.501  , 12279452.35  )     No           3          1    2    3 
"195"   12.470          ( 1679256.837  , 12279558.76  )     No           3          1    2    3 
"196"   12.470          ( 1679266.929  , 12279558.98  )     No           3          1    2    3 
"197"   12.470          ( 1679280.253  , 12279559.27  )     No           3          1    2    3 
"201"   12.470          ( 1679416.798  , 12279562.27  )     No           3          1    2    3 
"202"   12.470          ( 1679036.292  , 12279524.56  )     No           3          1    2    3 
"206"   12.470          ( 1678903.344  , 12279275.32  )     No           3          1    2    3 
"207"   12.470          ( 1678739.549  , 12279617.1   )     No           3          1    2    3 
"208"   12.470          ( 1678664.285  , 12279640.57  )     No           3          1    2    3 
"209"   12.470          ( 1678663.711  , 12279616.9   )     No           3          1    2    3 
"211"   12.470          ( 1678663.478  , 12279597.55  )     No           3          1    2    3 
"212"   12.470          ( 1678662.949  , 12279553.2   )     No           3          1    2    3 
"214"   12.470          ( 1678542.048  , 12279603.16  )     No           3          1    2    3 
"177"   12.470          ( 1679631.653  , 12279326.36  )     No           3          1    2    3 
"180"   12.470          ( 1679631.674  , 12279343.43  )     No           3          1    2    3 
"181"   12.470          ( 1679631.809  , 12279453.92  )     No           3          1    2    3 
"147"   12.470          ( 1681765.891  , 12279249.31  )     No           3          1    2    3 
"30"    12.470          ( 1691427.929  , 12274759.31  )     No           3          1    2    3 
"31"    12.470          ( 1691623.619  , 12274644.92  )     No           3          1    2    3 
"32"    12.470          ( 1691639.18   , 12274638.37  )     No           3          1    2    3 
"35"    12.470          ( 1691831.139  , 12274580.91  )     No           3          1    2    3 
"37"    12.470          ( 1692047.928  , 12274556.97  )     No           3          1    2    3 
"39"    12.470          ( 1692571.044  , 12274473.07  )     No           3          1    2    3 
"44"    12.470          ( 1692774.796  , 12274449.14  )     No           3          1    2    3 
"49"    12.470          ( 1693072.882  , 12274424.75  )     No           3          1    2    3 
"55"    12.470          ( 1693643.168  , 12274381.64  )     No           3          1    2    3 
"40"    12.470          ( 1692572.33   , 12274487.23  )     No           3          1    2    3 
"43"    12.470          ( 1692623.113  , 12274654.89  )     No           3          1    2    3 
"33"    12.470          ( 1691218.529  , 12274540.56  )     No           3          1    2    3 
"36"    12.470          ( 1691061.84   , 12274351.84  )     No           3          1    2    3 
"38"    12.470          ( 1691229.42   , 12273921.88  )     No           3          1    2    3 
"42"    12.470          ( 1691274.14   , 12273545.24  )     No           3          1    2    3 
"46"    12.470          ( 1691285.33   , 12273330.62  )     No           3          1    2    3 
"47"    12.470          ( 1691275.144  , 12273314.4   )     No           3          1    2    3 
"48"    12.470          ( 1691268.352  , 12273303.59  )     No           3          1    2    3 
"50"    12.470          ( 1691184.307  , 12273169.71  )     No           3          1    2    3 
"650"   12.470          (           NA,            NA )     No           3          1    2    3 
"651"   12.470          (           NA,            NA )     No           3          1    2    3 
"652"   12.470          (           NA,            NA )     No           3          1    2    3 
"653"   12.470          (           NA,            NA )     No           3          1    2    3 
"654"   12.470          (           NA,            NA )     No           3          1    2    3 
"655"   12.470          (           NA,            NA )     No           3          1    2    3 
"656"   12.470          (           NA,            NA )     No           3          1    2    3 
"657"   12.470          (           NA,            NA )     No           3          1    2    3 
"658"   12.470          (           NA,            NA )     No           3          1    2    3 
"659"   12.470          (           NA,            NA )     No           3          1    2    3 
"660"   12.470          (           NA,            NA )     No           3          1    2    3 
"661"   12.470          (           NA,            NA )     No           3          1    2    3 
"662"   12.470          (           NA,            NA )     No           3          1    2    3 
"663"   12.470          (           NA,            NA )     No           3          1    2    3 
"664"   12.470          (           NA,            NA )     No           3          1    2    3 
"665"   12.470          (           NA,            NA )     No           3          1    2    3 
"666"   12.470          (           NA,            NA )     No           3          1    2    3 
"667"   12.470          (           NA,            NA )     No           3          1    2    3 
"668"   12.470          (           NA,            NA )     No           3          1    2    3 
"669"   12.470          (           NA,            NA )     No           3          1    2    3 
"670"   12.470          (           NA,            NA )     No           3          1    2    3 
"671"   12.470          (           NA,            NA )     No           3          1    2    3 
"672"   12.470          (           NA,            NA )     No           3          1    2    3 
"673"   12.470          (           NA,            NA )     No           3          1    2    3 
"674"   12.470          (           NA,            NA )     No           3          1    2    3 
"4"     12.470          ( 1693852      , 12277577.76  )     No           3          1    2    3 
"5"     12.470          ( 1693886      , 12277577.76  )     No           3          1    2    3 
"6"     12.470          (           NA,            NA )     No           3          1    2    3 
"2"    115.000          ( 1693810      , 12277577.76  )     No           3          1    2    3 
"3"     12.470          ( 1693840      , 12277577.76  )     No           3          1    2    3 
