
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

1        69.72       1.05  3.175E-008  4.554E-008 4.535E-009 6.505E-009
232      7.639      1.061    0.01579     0.2067   0.01587    0.2078
234      7.639      1.061    0.01579     0.2067   0.01587    0.2078
233      8.101      1.125     0.1279      1.579     0.128      1.58
235      8.101      1.125     0.1279      1.579     0.128      1.58
237      8.101      1.125     0.1279      1.579     0.128      1.58
238      8.101      1.125     0.1279      1.579     0.128      1.58
241      8.101      1.125     0.1279      1.579     0.128      1.58
243      8.101      1.125     0.1279      1.579     0.128      1.58
244      8.101      1.125     0.1279      1.579     0.128      1.58
246      8.101      1.125     0.1279      1.579     0.128      1.58
247      8.101      1.125     0.1279      1.579     0.128      1.58
249      8.101      1.125     0.1279      1.579     0.128      1.58
250      8.101      1.125     0.1279      1.579     0.128      1.58
251      8.101      1.125     0.1279      1.579     0.128      1.58
252      8.101      1.125     0.1279      1.579     0.128      1.58
255      8.101      1.125     0.1279      1.579     0.128      1.58
257      8.101      1.125     0.1279      1.579     0.128      1.58
260      8.101      1.125     0.1279      1.579     0.128      1.58
262      8.101      1.125     0.1279      1.579     0.128      1.58
264      8.101      1.125     0.1279      1.579     0.128      1.58
268      8.101      1.125     0.1279      1.579     0.128      1.58
271      8.101      1.125     0.1279      1.579     0.128      1.58
277      8.101      1.125     0.1279      1.579     0.128      1.58
284      8.101      1.125     0.1279      1.579     0.128      1.58
288      8.101      1.125     0.1279      1.579     0.128      1.58
292      8.101      1.125     0.1279      1.579     0.128      1.58
294      8.101      1.125     0.1279      1.579     0.128      1.58
296      8.101      1.125     0.1279      1.579     0.128      1.58
300      8.101      1.125     0.1279      1.579     0.128      1.58
302      8.101      1.125     0.1279      1.579     0.128      1.58
307      8.101      1.125     0.1279      1.579     0.128      1.58
312      8.101      1.125     0.1279      1.579     0.128      1.58
315      8.101      1.125     0.1279      1.579     0.128      1.58
321      8.101      1.125     0.1279      1.579     0.128      1.58
324      8.101      1.125     0.1279      1.579     0.128      1.58
327      8.101      1.125     0.1279      1.579     0.128      1.58
328      8.101      1.125     0.1279      1.579     0.128      1.58
329      8.101      1.125     0.1279      1.579     0.128      1.58
330      8.101      1.125     0.1279      1.579     0.128      1.58
333      8.101      1.125     0.1279      1.579     0.128      1.58
335      8.101      1.125     0.1279      1.579     0.128      1.58
337      8.101      1.125     0.1279      1.579     0.128      1.58
339      8.101      1.125     0.1279      1.579     0.128      1.58
350      8.101      1.125     0.1279      1.579     0.128      1.58
351      8.101      1.125     0.1279      1.579     0.128      1.58
353      8.101      1.125     0.1279      1.579     0.128      1.58
354      8.101      1.125     0.1279      1.579     0.128      1.58
355      8.101      1.125     0.1279      1.579     0.128      1.58
357      8.101      1.125     0.1279      1.579     0.128      1.58
360      8.101      1.125     0.1279      1.579     0.128      1.58
362      8.101      1.125     0.1279      1.579     0.128      1.58
369      8.101      1.125     0.1279      1.579     0.128      1.58
370      8.101      1.125     0.1279      1.579     0.128      1.58
376      8.101      1.125     0.1279      1.579     0.128      1.58
379      8.101      1.125     0.1279      1.579     0.128      1.58
383      8.101      1.125     0.1279      1.579     0.128      1.58
386      8.101      1.125     0.1279      1.579     0.128      1.58
388      8.101      1.125     0.1279      1.579     0.128      1.58
393      8.101      1.125     0.1279      1.579     0.128      1.58
397      8.101      1.125     0.1279      1.579     0.128      1.58
407      8.101      1.125     0.1279      1.579     0.128      1.58
410      8.101      1.125     0.1279      1.579     0.128      1.58
414      8.101      1.125     0.1279      1.579     0.128      1.58
420      8.101      1.125     0.1279      1.579     0.128      1.58
428      8.101      1.125     0.1279      1.579     0.128      1.58
434      8.101      1.125     0.1279      1.579     0.128      1.58
439      8.101      1.125     0.1279      1.579     0.128      1.58
445      8.101      1.125     0.1279      1.579     0.128      1.58
451      8.101      1.125     0.1279      1.579     0.128      1.58
454      8.101      1.125     0.1279      1.579     0.128      1.58
460      8.101      1.125     0.1279      1.579     0.128      1.58
463      8.101      1.125     0.1279      1.579     0.128      1.58
363      8.101      1.125     0.1279      1.579     0.128      1.58
364      8.101      1.125     0.1279      1.579     0.128      1.58
365      8.101      1.125     0.1279      1.579     0.128      1.58
366      8.101      1.125     0.1279      1.579     0.128      1.58
368      8.101      1.125     0.1279      1.579     0.128      1.58
215      7.639      1.061    0.01579     0.2067   0.01587    0.2077
217      7.639      1.061    0.01579     0.2067   0.01587    0.2077
223      7.639      1.061    0.01579     0.2067   0.01587    0.2077
72       7.639      1.061    0.01579     0.2067   0.01586    0.2077
74       7.639      1.061    0.01579     0.2067   0.01586    0.2077
75       7.639      1.061    0.01579     0.2067   0.01587    0.2077
76       7.639      1.061    0.01579     0.2067   0.01587    0.2077
77       7.639      1.061    0.01579     0.2067   0.01587    0.2077
78       7.639      1.061    0.01579     0.2067   0.01587    0.2077
81       7.639      1.061    0.01579     0.2067   0.01587    0.2077
83       7.639      1.061    0.01579     0.2067   0.01587    0.2077
85       7.639      1.061    0.01579     0.2067   0.01587    0.2078
87       7.639      1.061    0.01579     0.2067   0.01587    0.2078
88       7.639      1.061    0.01579     0.2067   0.01588    0.2078
89       7.639      1.061    0.01579     0.2067   0.01588    0.2078
92       7.639      1.061    0.01579     0.2067   0.01588    0.2078
94       7.639      1.061    0.01579     0.2067   0.01588    0.2079
97       7.639      1.061    0.01579     0.2067   0.01588    0.2079
103      7.639      1.061    0.01579     0.2067   0.01589     0.208
108      7.639      1.061    0.01579     0.2067   0.01589    0.2081
109      7.639      1.061    0.01579     0.2067    0.0159    0.2081
112      7.639      1.061    0.01579     0.2067    0.0159    0.2081
113      7.639      1.061    0.01579     0.2067    0.0159    0.2081
116      7.639      1.061    0.01579     0.2067    0.0159    0.2081
117      7.639      1.061    0.01579     0.2067    0.0159    0.2081
120      7.639      1.061    0.01579     0.2068    0.0159    0.2082
122      7.639      1.061     0.0158     0.2068   0.01591    0.2082
123      7.639      1.061     0.0158     0.2068   0.01591    0.2082
125      7.639      1.061     0.0158     0.2068   0.01591    0.2082
126      7.639      1.061     0.0158     0.2068   0.01591    0.2082
127      7.639      1.061     0.0158     0.2068   0.01591    0.2082
130      7.639      1.061     0.0158     0.2068   0.01591    0.2083
133      7.639      1.061     0.0158     0.2068   0.01592    0.2083
134      7.639      1.061     0.0158     0.2068   0.01592    0.2083
135      7.639      1.061     0.0158     0.2068   0.01592    0.2083
139      7.639      1.061     0.0158     0.2068   0.01592    0.2083
140      7.639      1.061     0.0158     0.2068   0.01592    0.2083
137      7.639      1.061     0.0158     0.2068   0.01592    0.2084
138      7.639      1.061     0.0158     0.2068   0.01592    0.2084
142      7.639      1.061     0.0158     0.2068   0.01592    0.2084
144      7.639      1.061     0.0158     0.2068   0.01592    0.2084
149      7.639      1.061     0.0158     0.2068   0.01593    0.2085
150      7.639      1.061     0.0158     0.2068   0.01593    0.2085
151      7.639      1.061     0.0158     0.2068   0.01593    0.2085
152      7.639      1.061     0.0158     0.2068   0.01593    0.2085
154      7.639      1.061     0.0158     0.2068   0.01593    0.2085
157      7.639      1.061     0.0158     0.2068   0.01593    0.2085
161      7.639      1.061     0.0158     0.2068   0.01593    0.2085
163      7.639      1.061     0.0158     0.2068   0.01593    0.2085
165      7.639      1.061     0.0158     0.2068   0.01593    0.2086
166      7.639      1.061     0.0158     0.2068   0.01593    0.2086
169       7.64      1.061     0.0158     0.2068   0.01594    0.2086
172       7.64      1.061     0.0158     0.2068   0.01594    0.2086
173       7.64      1.061     0.0158     0.2068   0.01594    0.2086
174       7.64      1.061     0.0158     0.2068   0.01594    0.2087
175       7.64      1.061     0.0158     0.2068   0.01594    0.2087
179       7.64      1.061     0.0158     0.2068   0.01594    0.2087
184       7.64      1.061     0.0158     0.2068   0.01594    0.2087
185       7.64      1.061     0.0158     0.2068   0.01595    0.2087
186       7.64      1.061     0.0158     0.2068   0.01595    0.2087
190       7.64      1.061     0.0158     0.2068   0.01595    0.2088
198       7.64      1.061     0.0158     0.2069   0.01595    0.2088
199       7.64      1.061     0.0158     0.2069   0.01595    0.2088
203       7.64      1.061     0.0158     0.2069   0.01595    0.2088
205       7.64      1.061     0.0158     0.2069   0.01595    0.2088
213       7.64      1.061     0.0158     0.2069   0.01596    0.2089
216       7.64      1.061     0.0158     0.2069   0.01596    0.2089
219       7.64      1.061     0.0158     0.2069   0.01596    0.2089
218       8.07      1.121     0.2233      2.767    0.2234     2.768
221       8.07      1.121     0.2233      2.767    0.2234     2.768
222       8.07      1.121     0.2233      2.767    0.2234     2.768
224       8.07      1.121     0.2233      2.767    0.2234     2.768
225       8.07      1.121     0.2233      2.767    0.2234     2.768
227       8.07      1.121     0.2233      2.767    0.2234     2.768
236       8.07      1.121     0.2233      2.767    0.2234     2.768
239       8.07      1.121     0.2233      2.767    0.2234     2.768
240       8.07      1.121     0.2233      2.767    0.2234     2.768
242       8.07      1.121     0.2233      2.767    0.2234     2.768
245       8.07      1.121     0.2233      2.767    0.2234     2.768
248       8.07      1.121     0.2233      2.767    0.2234     2.768
253       8.07      1.121     0.2233      2.767    0.2234     2.768
254       8.07      1.121     0.2233      2.767    0.2234     2.768
256       8.07      1.121     0.2233      2.767    0.2234     2.768
258       8.07      1.121     0.2233      2.767    0.2234     2.768
259       8.07      1.121     0.2233      2.767    0.2234     2.768
261       8.07      1.121     0.2233      2.767    0.2234     2.768
263       8.07      1.121     0.2233      2.767    0.2234     2.768
265       8.07      1.121     0.2233      2.767    0.2234     2.768
266       8.07      1.121     0.2233      2.767    0.2234     2.768
267       8.07      1.121     0.2233      2.767    0.2234     2.768
269       8.07      1.121     0.2233      2.767    0.2234     2.768
270       8.07      1.121     0.2233      2.767    0.2234     2.768
272       8.07      1.121     0.2233      2.767    0.2234     2.768
273       8.07      1.121     0.2233      2.767    0.2234     2.768
274       8.07      1.121     0.2233      2.767    0.2234     2.768
275       8.07      1.121     0.2233      2.767    0.2234     2.768
276       8.07      1.121     0.2233      2.767    0.2234     2.768
278       8.07      1.121     0.2233      2.767    0.2234     2.768
279       8.07      1.121     0.2233      2.767    0.2234     2.768
280       8.07      1.121     0.2233      2.767    0.2234     2.768
281       8.07      1.121     0.2233      2.767    0.2234     2.768
282       8.07      1.121     0.2233      2.767    0.2234     2.768
283       8.07      1.121     0.2233      2.767    0.2234     2.768
285       8.07      1.121     0.2233      2.767    0.2234     2.768
287       8.07      1.121     0.2233      2.767    0.2234     2.768
289       8.07      1.121     0.2233      2.767    0.2234     2.769
293       8.07      1.121     0.2233      2.767    0.2234     2.769
295       8.07      1.121     0.2233      2.767    0.2234     2.769
299       8.07      1.121     0.2233      2.767    0.2234     2.769
301       8.07      1.121     0.2233      2.767    0.2234     2.769
303       8.07      1.121     0.2233      2.767    0.2234     2.769
305       8.07      1.121     0.2233      2.767    0.2234     2.769
311       8.07      1.121     0.2233      2.767    0.2234     2.769
313       8.07      1.121     0.2233      2.767    0.2234     2.769
314       8.07      1.121     0.2233      2.767    0.2234     2.769
316       8.07      1.121     0.2233      2.767    0.2234     2.769
317       8.07      1.121     0.2233      2.767    0.2234     2.769
318       8.07      1.121     0.2233      2.767    0.2234     2.769
320       8.07      1.121     0.2233      2.767    0.2234     2.769
322       8.07      1.121     0.2233      2.767    0.2234     2.769
323       8.07      1.121     0.2233      2.767    0.2234     2.769
331       8.07      1.121     0.2233      2.767    0.2234     2.769
340       8.07      1.121     0.2233      2.767    0.2234     2.769
342       8.07      1.121     0.2233      2.767    0.2234     2.769
344       8.07      1.121     0.2233      2.767    0.2234     2.769
343      8.379      1.164     0.3466      4.136    0.3468     4.138
345      8.379      1.164     0.3466      4.136    0.3468     4.138
346      8.379      1.164     0.3466      4.136    0.3468     4.138
